antecedent;consequent;support;confidence
going take order;long;0.0009225989362683616;0.2450331125827815
going take long;order;0.0009225989362683616;0.3388278388278388
going order long;take;0.0009225989362683616;0.35992217898832685
take order long;going;0.0009225989362683616;0.25974025974025977
going take order;never;0.001280417712902172;0.3400662251655629
going take never;order;0.001280417712902172;0.31234793187347926
going order never;take;0.001280417712902172;0.3032181871863005
take order never;going;0.001280417712902172;0.2605276509386098
going take long;never;0.0010086250532987898;0.3704212454212454
going take never;long;0.0010086250532987898;0.24604622871046225
going long never;take;0.0010086250532987898;0.3263412666397741
take long never;going;0.0010086250532987898;0.3351284175642088
going experience way;never;0.0012130929256609674;0.3516443801951572
going experience never;way;0.0012130929256609674;0.26804407713498624
going way never;experience;0.0012130929256609674;0.287359716479622
experience way never;going;0.0012130929256609674;0.3021739130434783
going order long;never;0.0008727287234970988;0.3404669260700389
going order never;long;0.0008727287234970988;0.20667257159728372
going long never;order;0.0008727287234970988;0.28237192416296897
order long never;going;0.0008727287234970988;0.2796644027167399
hard water;really get;0.00044135138302567567;0.2103386809269162
really hard water;get;0.00044135138302567567;0.5479876160990712
get hard water;really;0.00044135138302567567;0.427536231884058
really tour needed;us;5.7350744686952204e-05;0.5411764705882353
us tour needed;really;5.7350744686952204e-05;0.368
really us tour;one;0.000347844734079558;0.4285714285714286
really tour one;us;0.000347844734079558;0.4305555555555556
us tour one;really;0.000347844734079558;0.35138539042821165
really us tour;great;0.0003989617021701023;0.4915514592933948
really tour great;us;0.0003989617021701023;0.4193971166448231
us tour great;really;0.0003989617021701023;0.30977734753146174
really us needed;one;0.001420054308661708;0.5523763336566441
really needed one;us;0.001420054308661708;0.36389776357827475
us needed one;really;0.001420054308661708;0.35350713842333953
really us needed;great;0.0011457681384197625;0.44568380213385067
really needed great;us;0.0011457681384197625;0.3410018552875696
us needed great;really;0.0011457681384197625;0.3632411067193676
really us one;great;0.005746295266568755;0.4190380943722157
really us great;one;0.005746295266568755;0.45547979049313175
really one great;us;0.005746295266568755;0.27442691277165826
us one great;really;0.005746295266568755;0.37514243854794077
really fun maybe;well;0.0002830134574769163;0.34393939393939393
fun well maybe;really;0.0002830134574769163;0.5159090909090909
really fun well;one;0.0012854047341792983;0.48087686567164173
really fun one;well;0.0012854047341792983;0.33322559793148027
fun well one;really;0.0012854047341792983;0.4313807531380753
really fun well;good;0.0014761582980293785;0.5522388059701492
really fun good;well;0.0014761582980293785;0.29644466700050076
fun well good;really;0.0014761582980293785;0.44080416976917347
fun maybe;really one;0.00046628648941130705;0.252361673414305
really fun maybe;one;0.00046628648941130705;0.5666666666666667
fun maybe one;really;0.00046628648941130705;0.5137362637362637
fun maybe;really good;0.00049246835111622;0.26653171390013497
really fun maybe;good;0.00049246835111622;0.5984848484848485
fun maybe good;really;0.00049246835111622;0.5038265306122448
really fun one;good;0.002049665744898901;0.5313510019392372
really fun good;one;0.002049665744898901;0.4116174261392088
fun one good;really;0.002049665744898901;0.43898531375166894
really tour needed;one;5.7350744686952204e-05;0.5411764705882353
tour needed one;really;5.7350744686952204e-05;0.37398373983739835
really tour needed;great;4.238968085557337e-05;0.39999999999999997
tour needed great;really;4.238968085557337e-05;0.35789473684210527
really tour one;great;0.00034909148939883954;0.43209876543209874
really tour great;one;0.00034909148939883954;0.3669724770642202
tour one great;really;0.00034909148939883954;0.3381642512077295
well maybe;really one;0.0020945489363930372;0.23759015697921088
really well maybe;one;0.0020945489363930372;0.5749486652977412
really maybe one;well;0.0020945489363930372;0.35782747603833864
well maybe one;really;0.0020945489363930372;0.4683579592974631
well maybe;really good;0.0024174585640869637;0.2742186395135059
really well maybe;good;0.0024174585640869637;0.663586584531143
really maybe good;well;0.0024174585640869637;0.328087986463621
well maybe good;really;0.0024174585640869637;0.4791203360513961
really well;good one;0.008785884734977222;0.23940073379535262
really well one;good;0.008785884734977222;0.5819157720891825
really well good;one;0.008785884734977222;0.4367794719226479
really one good;well;0.008785884734977222;0.3048669695003245
well one good;really;0.008785884734977222;0.406964656964657
really order maybe;back;0.0015397428193127385;0.5055259926320098
really maybe back;order;0.0015397428193127385;0.2915486307837582
order maybe back;really;0.0015397428193127385;0.4452054794520548
really order maybe;go;0.0014275348405773972;0.4686860417519443
really maybe go;order;0.0014275348405773972;0.299738219895288
order maybe go;really;0.0014275348405773972;0.4259672619047619
really order back;go;0.0051079565430965914;0.4903650508677439
really order go;back;0.0051079565430965914;0.5006109481915934
really back go;order;0.0051079565430965914;0.23708118743128292
order back go;really;0.0051079565430965914;0.33615031178208077
really needed one;great;0.0015522103725055542;0.39776357827476033
really needed great;one;0.0015522103725055542;0.4619666048237477
needed one great;really;0.0015522103725055542;0.38295908951091967
really maybe;good one;0.0037165776067783593;0.3055555555555556
maybe one;really good;0.0037165776067783593;0.24699643715303668
maybe good;really one;0.0037165776067783593;0.20223880597014926
really maybe one;good;0.0037165776067783593;0.6349307774227901
really maybe good;one;0.0037165776067783593;0.5043993231810491
maybe one good;really;0.0037165776067783593;0.4596053037311132
really maybe;back go;0.002656835585389025;0.21842968429684298
maybe go;really back;0.002656835585389025;0.21263220913989225
really maybe back;go;0.002656835585389025;0.5030689329556185
really maybe go;back;0.002656835585389025;0.5578534031413613
maybe back go;really;0.002656835585389025;0.41784313725490196
come many;time like;0.002605718617298481;0.24056169429097607
time come many;like;0.002605718617298481;0.5299188640973631
time like many;come;0.002605718617298481;0.25885558583106266
come like many;time;0.002605718617298481;0.5244667503136763
time come;good like;0.007842090958281074;0.20242654394490395
come like;time good;0.007842090958281074;0.22358879567752027
time come like;good;0.007842090958281074;0.5057489748331592
time come good;like;0.007842090958281074;0.474466319680169
time like good;come;0.007842090958281074;0.2355717014344032
come like good;time;0.007842090958281074;0.46359080188679247
come many;time good;0.002404991010894148;0.2220303867403315
time come many;good;0.002404991010894148;0.4890973630831643
time many good;come;0.002404991010894148;0.23398835516739447
come many good;time;0.002404991010894148;0.48357984457257464
time many;good like;0.005180268351614922;0.2218129404228059
like many;time good;0.005180268351614922;0.210667748314151
time like many;good;0.005180268351614922;0.5146148129799356
time many good;like;0.005180268351614922;0.5040029112081513
like many good;time;0.005180268351614922;0.4328575893322221
tour needed;us one;8.103909575330204e-05;0.25691699604743085
us tour needed;one;8.103909575330204e-05;0.52
tour needed one;us;8.103909575330204e-05;0.5284552845528456
tour needed;us great;7.355856383761262e-05;0.233201581027668
us tour needed;great;7.355856383761262e-05;0.47200000000000003
